||Champion|Points|Rank Change|Best Player| 
| 34 | Vi | 51.8 |🟩🔺 15| [Music101](https://www.op.gg/summoners/na/Music101) |
| 35 | Cassiopeia | 49.8 |🟥🔻 12| [Tony Top](https://www.op.gg/summoners/na/Tony Top) |
| 36 | Teemo | 49.0 |🟩🔺 69| [Yung Fappy](https://www.op.gg/summoners/na/Yung Fappy) |
| 37 | Xayah | 49.0 |🟥🔻 35| [warcyclone](https://www.op.gg/summoners/na/warcyclone) |
| 38 | Pantheon | 47.4 |🟩🔺 23| [ZEUSTONYTOPNILES](https://www.op.gg/summoners/na/ZEUSTONYTOPNILES) |
| 39 | Ahri | 46.8 |🟥🔻 22| [The Moment](https://www.op.gg/summoners/na/The Moment) |
| 40 | Aphelios | 45.2 |🟥🔻 30| [warcyclone](https://www.op.gg/summoners/na/warcyclone) |
| 41 | Hecarim | 44.8 |🟥🔻 17| [gyu123987](https://www.op.gg/summoners/na/gyu123987) |
| 42 | Fiora | 40.8 |🟥🔻 11| [톱 왕](https://www.op.gg/summoners/na/톱 왕) |
| 43 | Evelynn | 40.0 |🟥🔻 30| not played |
| 44 | Rengar | 40.0 |🟥🔻 35| not played |
| 45 | Orianna | 39.0 |🟩🔺 28| [sigyetaeyeob](https://www.op.gg/summoners/na/sigyetaeyeob) |
| 46 | Gangplank | 35.7 |🟩🔺 69| [TC porsche](https://www.op.gg/summoners/na/TC porsche) |
| 47 | Udyr | 35.2 |🟥🔻 21| [gyu123987](https://www.op.gg/summoners/na/gyu123987) |
| 48 | Akali | 33.0 |🟩🔺 43| [EMENES](https://www.op.gg/summoners/na/EMENES) |
| 49 | Diana | 32.1 |🟩🔺 44| [Arcsecond](https://www.op.gg/summoners/na/Arcsecond) |
| 50 | Mordekaiser | 31.4 |🟩🔺 98| [ai xiao yo](https://www.op.gg/summoners/na/ai xiao yo) |
| 51 | Nocturne | 30.5 |🟩🔺 70| [PantsAreYouTube](https://www.op.gg/summoners/na/PantsAreYouTube) |
| 52 | Poppy | 30.5 |🟥🔻 2| [gemí](https://www.op.gg/summoners/na/gemí) |
| 53 | Nunu & Willump | 30.0 |🟩🔺 23| not played |
| 54 | Warwick | 30.0 |🟩🔺 64| not played |
| 55 | Maokai | 28.5 |🟩🔺 22| [ARMAO](https://www.op.gg/summoners/na/ARMAO) |
| 56 | Taric | 28.3 |🟩🔺 36| [lightrocket2](https://www.op.gg/summoners/na/lightrocket2) |
| 57 | Vayne | 28.3 |🟩🔺 73| [Sushee](https://www.op.gg/summoners/na/Sushee) |
| 58 | Akshan | 27.8 |🟥🔻 7| [pizzaman007](https://www.op.gg/summoners/na/pizzaman007) |
| 59 | Lux | 25.4 |🟩🔺 73| [Samikin](https://www.op.gg/summoners/na/Samikin) |
| 60 | Nidalee | 24.1 |🟥🔻 57| [Miky2](https://www.op.gg/summoners/na/Miky2) |
| 61 | Volibear | 23.8 |🟩🔺 52| [Mr Bluehat](https://www.op.gg/summoners/na/Mr Bluehat) |
| 62 | Wukong | 23.4 |🟥🔻 6| [insung](https://www.op.gg/summoners/na/insung) |
| 63 | Sion | 23.4 |🟩🔺 31| [kookykrook](https://www.op.gg/summoners/na/kookykrook) |
| 64 | Samira | 22.8 |🟩🔺 19| [stargazer](https://www.op.gg/summoners/na/stargazer) |
| 65 | Camille | 22.0 |🟩🔺 32| [톱 왕](https://www.op.gg/summoners/na/톱 왕) |
| 66 | Ekko | 20.0 |🟩🔺 48| not played |
| 67 | Fizz | 20.0 |🟩🔺 40| not played |
| 68 | Kled | 20.0 |🟩🔺 54| not played |
| 69 | Talon | 20.0 |🟥🔻 25| not played |
| 70 | Zac | 20.0 |🟩🔺 4| not played |
| 71 | Zed | 20.0 |🟥🔻 30| not played |
| 72 | Zilean | 20.0 |🟩🔺 30| not played |
| 73 | Leona | 17.6 |🟩🔺 26| [Just1](https://www.op.gg/summoners/na/Just1) |
| 74 | Graves | 17.3 |🟥🔻 40| [tomoe9](https://www.op.gg/summoners/na/tomoe9) |
| 75 | Rumble | 12.3 |🟥🔻 33| [Tony Top](https://www.op.gg/summoners/na/Tony Top) |
| 76 | Irelia | 11.5 |🟥🔻 31| [dog kachu](https://www.op.gg/summoners/na/dog kachu) |
| 77 | Anivia | 10.0 |🟩🔺 49| not played |
| 78 | Aurelion Sol | 10.0 |🟩🔺 3| not played |
| 79 | Fiddlesticks | 10.0 |🟩🔺 11| not played |
| 80 | Heimerdinger | 10.0 |🟥🔻 20| not played |
| 81 | Ivern | 10.0 |🟩🔺 44| not played |
| 82 | Katarina | 10.0 |🟥🔻 43| not played |
| 83 | Kayn | 10.0 |🟥🔻 35| not played |
| 84 | Master Yi | 10.0 |🟩🔺 16| not played |
| 85 | Neeko | 10.0 |🟩🔺 39| not played |
| 86 | Shaco | 10.0 |🟩🔺 9| not played |
| 87 | Sona | 10.0 |🟩🔺 68| not played |
| 88 | Syndra | 10.0 |🟥🔻 24| not played |
| 89 | Yuumi | 10.0 |🟥🔻 35| not played |
| 90 | Gwen | 7.7 |🟥🔻 6| [TC porsche](https://www.op.gg/summoners/na/TC porsche) |
| 91 | Soraka | 6.1 |🟩🔺 50| [ƒreyá](https://www.op.gg/summoners/na/ƒreyá) |
| 92 | Viego | 5.7 |🟥🔻 39| [dog kachu](https://www.op.gg/summoners/na/dog kachu) |
| 93 | Swain | 3.9 |🟩🔺 43| [bigboichoi69](https://www.op.gg/summoners/na/bigboichoi69) |
| 94 | Nami | 1.1 |🟩🔺 43| [5tunt](https://www.op.gg/summoners/na/5tunt) |
| 95 | Amumu | 0.0 |🟩🔺 45| not played |
| 96 | Azir | 0.0 |🟩🔺 47| not played |
| 97 | Bard | 0.0 |🟩🔺 47| not played |
| 98 | Bel'Veth | 0.0 |🟥🔻 51| not played |
| 99 | Brand | 0.0 |🟩🔺 57| not played |
| 100 | Braum | 0.0 |🟩🔺 34| not played |
| 101 | Cho'Gath | 0.0 |🟩🔺 62| not played |
| 102 | Corki | 0.0 |🟩🔺 59| not played |
| 103 | Dr. Mundo | 0.0 |🟩🔺 50| not played |
| 104 | Galio | 0.0 |🟥🔻 38| not played |
| 105 | Garen | 0.0 |🟩🔺 15| not played |
| 106 | Gnar | 0.0 |🟥🔻 21| not played |
| 107 | Illaoi | 0.0 |🟩🔺 43| not played |
| 108 | Janna | 0.0 |🟩🔺 15| not played |
| 109 | Jarvan IV | 0.0 |🟥🔻 57| not played |
| 110 | Kai'Sa | 0.0 |🟥🔻 42| not played |
| 111 | Kalista | 0.0 |🟥🔻 15| not played |
| 112 | Kassadin | 0.0 |🟥🔻 50| not played |
| 113 | Kayle | 0.0 |🟩🔺 47| not played |
| 114 | Kog'Maw | 0.0 |🟥🔻 11| not played |
| 115 | Lillia | 0.0 |🟥🔻 40| not played |
| 116 | Lissandra | 0.0 |🟥🔻 45| not played |
| 117 | Malzahar | 0.0 |🟩🔺 40| not played |
| 118 | Miss Fortune | 0.0 |🟩🔺 13| not played |
| 119 | Nasus | 0.0 |🟥🔻 13| not played |
| 120 | Nilah | 0.0 |🟩🔺 15| not played |
| 121 | Ornn | 0.0 |🟩🔺 31| not played |
| 122 | Quinn | 0.0 |🟥🔻 11| not played |
| 123 | Rammus | 0.0 |🟩🔺 16| not played |
| 124 | Rek'Sai | 0.0 |🟥🔻 15| not played |
| 125 | Rell | 0.0 |🟥🔻 15| not played |
| 126 | Renata Glasc | 0.0 |🟥🔻 22| not played |
| 127 | Renekton | 0.0 |🟥🔻 55| not played |
| 128 | Riven | 0.0 |🟥🔻 85| not played |
| 129 | Ryze | 0.0 |🟩🔺 20| not played |
| 130 | Sejuani | 0.0 |🟩🔺 24| not played |
| 131 | Sett | 0.0 |🟩🔺 31| not played |
| 132 | Shen | 0.0 |🟥🔻 3| not played |
| 133 | Shyvana | 0.0 |🟩🔺 25| not played |
| 134 | Singed | 0.0 |🟥🔻 33| not played |
| 135 | Sivir | 0.0 |🟥🔻 7| not played |
| 136 | Skarner | 0.0 |🟩🔺 2| not played |
| 137 | Tahm Kench | 0.0 |🟥🔻 39| not played |
| 138 | Taliyah | 0.0 |🟥🔻 73| not played |
| 139 | Tristana | 0.0 |🟥🔻 76| not played |
| 140 | Trundle | 0.0 |🟩🔺 7| not played |
| 141 | Tryndamere | 0.0 |🟥🔻 54| not played |
| 142 | Twisted Fate | 0.0 |🟥🔻 15| not played |
| 143 | Urgot | 0.0 |🟩🔺 2| not played |
| 144 | Veigar | 0.0 |🟥🔻 56| not played |
| 145 | Vel'Koz | 0.0 |🟩🔺 1| not played |
| 146 | Vex | 0.0 |🟥🔻 77| not played |
| 147 | Vladimir | 0.0 |🟥🔻 39| not played |
| 148 | Xerath | 0.0 |🟩🔺 3| not played |
| 149 | Xin Zhao | 0.0 |🟥🔻 33| not played |
| 150 | Yorick | 0.0 |🟥🔻 8| not played |
| 151 | Zyra | 0.0 |🟥🔻 34| not played |
| 152 | Lucian | -2.1 |🟥🔻 40| [Levitate](https://www.op.gg/summoners/na/Levitate) |
| 153 | Yone | -2.3 |🟥🔻 86| [rainº](https://www.op.gg/summoners/na/rainº) |
| 154 | Annie | -4.0 |🟥🔻 119| [The Tank Man](https://www.op.gg/summoners/na/The Tank Man) |
| 155 | Viktor | -4.7 |🟥🔻 76| [ARRAY123](https://www.op.gg/summoners/na/ARRAY123) |
| 156 | Karma | -5.9 |🟥🔻 97| [Miky2](https://www.op.gg/summoners/na/Miky2) |
| 157 | Darius | -6.2 |🟥🔻 100| [Mr Bluehat](https://www.op.gg/summoners/na/Mr Bluehat) |
| 158 | Lulu | -10.4 |🟥🔻 80| [ƒreyá](https://www.op.gg/summoners/na/ƒreyá) |
| 159 | Alistar | -11.0 |🟥🔻 70| [Breezyyy](https://www.op.gg/summoners/na/Breezyyy) |
| 160 | Aatrox | -13.6 |🟥🔻 80| [ai xiao yo](https://www.op.gg/summoners/na/ai xiao yo) |
| 161 | Ziggs | -13.8 |🟥🔻 2| [Adarladorri](https://www.op.gg/summoners/na/Adarladorri) |
| 162 | Caitlyn | -17.4 |🟥🔻 43| [Deep Learning1](https://www.op.gg/summoners/na/Deep Learning1) |
| 163 | K'Sante | -25.6 |🟥🔻 136| [SorryMyßad](https://www.op.gg/summoners/na/SorryMyßad) |
