||Champion|Points|Rank Change|Best Player| 
| 24 | Kennen | 45 |🟩🔺 5| [48YDEq84Yg](https://www.op.gg/summoners/na/48YDEq84Yg) |
| 25 | Pyke | 45 |🟥🔻 3| [Inoriboob](https://www.op.gg/summoners/na/Inoriboob) |
| 26 | Twitch | 44 |🟩🔺 20| [jimmykoi](https://www.op.gg/summoners/na/jimmykoi) |
| 27 | Zed | 44 |🟩🔺 14| [nemy2](https://www.op.gg/summoners/na/nemy2) |
| 28 | Graves | 42 |🟩🔺 6| [xiao fei ya](https://www.op.gg/summoners/na/xiao fei ya) |
| 29 | Kha'Zix | 37 |🟥🔻 4| [247247247247](https://www.op.gg/summoners/na/247247247247) |
| 30 | Wukong | 36 |🟩🔺 26| [AnazKr](https://www.op.gg/summoners/na/AnazKr) |
| 31 | Rumble | 35 |🟩🔺 11| [gg wtf](https://www.op.gg/summoners/na/gg wtf) |
| 32 | Zeri | 35 |🟥🔻 16| [Neøø](https://www.op.gg/summoners/na/Neøø) |
| 33 | Aatrox | 33 |🟩🔺 47| [ai xiao yo](https://www.op.gg/summoners/na/ai xiao yo) |
| 34 | Nautilus | 33 |🟩🔺 3| [C9 Zven](https://www.op.gg/summoners/na/C9 Zven) |
| 35 | Evelynn | 32 |🟥🔻 22| not played |
| 36 | Lee Sin | 31 |🟥🔻 16| [Music101](https://www.op.gg/summoners/na/Music101) |
| 37 | Olaf | 31 |🟩🔺 1| [kookykrook](https://www.op.gg/summoners/na/kookykrook) |
| 38 | Elise | 30 |🟥🔻 6| [SwagTake](https://www.op.gg/summoners/na/SwagTake) |
| 39 | Fiddlesticks | 29 |🟩🔺 51| [PantsAreYouTube](https://www.op.gg/summoners/na/PantsAreYouTube) |
| 40 | Irelia | 28 |🟩🔺 5| [100 Tenacity](https://www.op.gg/summoners/na/100 Tenacity) |
| 41 | Ahri | 27 |🟥🔻 24| [Stevenatør](https://www.op.gg/summoners/na/Stevenatør) |
| 42 | K'Sante | 27 |🟥🔻 15| [Berik](https://www.op.gg/summoners/na/Berik) |
| 43 | Karma | 26 |🟩🔺 16| [Biggest Glazer](https://www.op.gg/summoners/na/Biggest Glazer) |
| 44 | Vladimir | 26 |🟩🔺 64| [ai xiao yo](https://www.op.gg/summoners/na/ai xiao yo) |
| 45 | Senna | 25 |🟥🔻 12| [Good Boi](https://www.op.gg/summoners/na/Good Boi) |
| 46 | Tristana | 25 |🟩🔺 17| [SnipaXD](https://www.op.gg/summoners/na/SnipaXD) |
| 47 | Kayn | 24 |🟩🔺 1| [Kenvi2](https://www.op.gg/summoners/na/Kenvi2) |
| 48 | Mordekaiser | 23 |🟩🔺 100| [ai xiao yo](https://www.op.gg/summoners/na/ai xiao yo) |
| 49 | Poppy | 23 |🟩🔺 1| [DevUnikorn](https://www.op.gg/summoners/na/DevUnikorn) |
| 50 | Ezreal | 22 |🟥🔻 22| [bot line](https://www.op.gg/summoners/na/bot line) |
| 51 | Lux | 22 |🟩🔺 81| [Cupic](https://www.op.gg/summoners/na/Cupic) |
| 52 | Heimerdinger | 21 |🟩🔺 8| [C9 Zven](https://www.op.gg/summoners/na/C9 Zven) |
| 53 | Yuumi | 20 |🟩🔺 1| [gyu123987](https://www.op.gg/summoners/na/gyu123987) |
| 54 | Zoe | 20 |🟥🔻 14| [Samikin](https://www.op.gg/summoners/na/Samikin) |
| 55 | Jarvan IV | 17 |🟥🔻 3| [J4 KING](https://www.op.gg/summoners/na/J4 KING) |
| 56 | Yone | 17 |🟩🔺 11| [Wumpus Wave](https://www.op.gg/summoners/na/Wumpus Wave) |
| 57 | Akshan | 16 |🟥🔻 6| [pizzaman007](https://www.op.gg/summoners/na/pizzaman007) |
| 58 | Camille | 16 |🟩🔺 39| [jjking10](https://www.op.gg/summoners/na/jjking10) |
| 59 | Nunu & Willump | 16 |🟩🔺 17| [Pentaless](https://www.op.gg/summoners/na/Pentaless) |
| 60 | Pantheon | 16 |🟩🔺 1| [OddOrange](https://www.op.gg/summoners/na/OddOrange) |
| 61 | Annie | 15 |🟥🔻 26| [faker god top](https://www.op.gg/summoners/na/faker god top) |
| 62 | Diana | 15 |🟩🔺 31| [Arcsecond](https://www.op.gg/summoners/na/Arcsecond) |
| 63 | Sion | 15 |🟩🔺 31| [Augustine](https://www.op.gg/summoners/na/Augustine) |
| 64 | Syndra | 15 |🟨 0| [Cupic](https://www.op.gg/summoners/na/Cupic) |
| 65 | Warwick | 15 |🟩🔺 53| not played |
| 66 | Gwen | 14 |🟩🔺 18| [Blacc Massu](https://www.op.gg/summoners/na/Blacc Massu) |
| 67 | Leona | 14 |🟩🔺 32| [Aymmy](https://www.op.gg/summoners/na/Aymmy) |
| 68 | Nidalee | 14 |🟥🔻 65| [Music101](https://www.op.gg/summoners/na/Music101) |
| 69 | Renekton | 14 |🟩🔺 3| [ScaryJ3rry](https://www.op.gg/summoners/na/ScaryJ3rry) |
| 70 | Garen | 13 |🟩🔺 50| [TOP 07](https://www.op.gg/summoners/na/TOP 07) |
| 71 | Ivern | 13 |🟩🔺 54| [jamican banana](https://www.op.gg/summoners/na/jamican banana) |
| 72 | Kai'Sa | 13 |🟥🔻 4| [Mobility3](https://www.op.gg/summoners/na/Mobility3) |
| 73 | Neeko | 13 |🟩🔺 51| [gg wtf](https://www.op.gg/summoners/na/gg wtf) |
| 74 | Aurelion Sol | 12 |🟩🔺 7| not played |
| 75 | Ekko | 12 |🟩🔺 39| [100 yukino](https://www.op.gg/summoners/na/100 yukino) |
| 76 | Gangplank | 12 |🟩🔺 39| [TC porsche](https://www.op.gg/summoners/na/TC porsche) |
| 77 | Orianna | 12 |🟥🔻 4| [sigyetaeyeob](https://www.op.gg/summoners/na/sigyetaeyeob) |
| 78 | Shaco | 12 |🟩🔺 17| [Get Pongered](https://www.op.gg/summoners/na/Get Pongered) |
| 79 | Zac | 12 |🟥🔻 5| not played |
| 80 | Caitlyn | 11 |🟩🔺 39| [Deep Learning1](https://www.op.gg/summoners/na/Deep Learning1) |
| 81 | Qiyana | 11 |🟥🔻 26| [pizzaman007](https://www.op.gg/summoners/na/pizzaman007) |
| 82 | Teemo | 11 |🟩🔺 23| not played |
| 83 | Vi | 11 |🟥🔻 34| [247247247247](https://www.op.gg/summoners/na/247247247247) |
| 84 | Viktor | 11 |🟥🔻 5| [EMENES](https://www.op.gg/summoners/na/EMENES) |
| 85 | Cassiopeia | 10 |🟥🔻 62| [Zykoo](https://www.op.gg/summoners/na/Zykoo) |
| 86 | Talon | 10 |🟥🔻 42| [Not Hans](https://www.op.gg/summoners/na/Not Hans) |
| 87 | Tryndamere | 10 |🟨 0| [kookykrook](https://www.op.gg/summoners/na/kookykrook) |
| 88 | Viego | 10 |🟥🔻 35| [gyu123987](https://www.op.gg/summoners/na/gyu123987) |
| 89 | Akali | 9 |🟩🔺 2| [TTV AKASHI10](https://www.op.gg/summoners/na/TTV AKASHI10) |
| 90 | Cho'Gath | 9 |🟩🔺 73| [다이아몬드](https://www.op.gg/summoners/na/다이아몬드) |
| 91 | Darius | 9 |🟥🔻 34| [TL Honda MaRin](https://www.op.gg/summoners/na/TL Honda MaRin) |
| 92 | Lucian | 9 |🟩🔺 20| [smiley2](https://www.op.gg/summoners/na/smiley2) |
| 93 | Alistar | 8 |🟥🔻 4| [Biggest Glazer](https://www.op.gg/summoners/na/Biggest Glazer) |
| 94 | Katarina | 8 |🟥🔻 55| not played |
| 95 | Zilean | 8 |🟩🔺 7| not played |
| 96 | Azir | 7 |🟩🔺 47| [Haven666](https://www.op.gg/summoners/na/Haven666) |
| 97 | Lulu | 7 |🟥🔻 19| [Mixtsure](https://www.op.gg/summoners/na/Mixtsure) |
| 98 | Swain | 7 |🟩🔺 38| [bigboichoi69](https://www.op.gg/summoners/na/bigboichoi69) |
| 99 | Tahm Kench | 7 |🟥🔻 1| [Iinks](https://www.op.gg/summoners/na/Iinks) |
| 100 | Ashe | 6 |🟥🔻 14| [Peyz1](https://www.op.gg/summoners/na/Peyz1) |
| 101 | Bel'Veth | 6 |🟥🔻 54| [247247247247](https://www.op.gg/summoners/na/247247247247) |
| 102 | Galio | 6 |🟥🔻 36| [Zykoo](https://www.op.gg/summoners/na/Zykoo) |
| 103 | Kalista | 6 |🟥🔻 7| [Noodlz](https://www.op.gg/summoners/na/Noodlz) |
| 104 | Kassadin | 6 |🟥🔻 42| not played |
| 105 | Kog'Maw | 6 |🟥🔻 2| [niinim](https://www.op.gg/summoners/na/niinim) |
| 106 | Lissandra | 6 |🟥🔻 35| [jojooooooooooooo](https://www.op.gg/summoners/na/jojooooooooooooo) |
| 107 | Maokai | 6 |🟥🔻 30| [KidBeatz](https://www.op.gg/summoners/na/KidBeatz) |
| 108 | Nocturne | 6 |🟩🔺 13| [100 yukino](https://www.op.gg/summoners/na/100 yukino) |
| 109 | Ornn | 6 |🟩🔺 43| [TL Honda CoreJJ](https://www.op.gg/summoners/na/TL Honda CoreJJ) |
| 110 | Singed | 6 |🟥🔻 9| [Tora](https://www.op.gg/summoners/na/Tora) |
| 111 | Sivir | 6 |🟩🔺 17| [adking9](https://www.op.gg/summoners/na/adking9) |
| 112 | Xerath | 6 |🟩🔺 39| [gyu123987](https://www.op.gg/summoners/na/gyu123987) |
| 113 | Fizz | 5 |🟥🔻 6| not played |
| 114 | Janna | 5 |🟩🔺 9| [The Tank Man](https://www.op.gg/summoners/na/The Tank Man) |
| 115 | Jhin | 5 |🟥🔻 33| [Bazz B](https://www.op.gg/summoners/na/Bazz B) |
| 116 | Kled | 5 |🟩🔺 6| [CU Ego](https://www.op.gg/summoners/na/CU Ego) |
| 117 | Shen | 5 |🟩🔺 12| [Taffys](https://www.op.gg/summoners/na/Taffys) |
| 118 | Soraka | 5 |🟩🔺 23| [no leo lloros](https://www.op.gg/summoners/na/no leo lloros) |
| 119 | Zyra | 5 |🟥🔻 2| [IamaNewby](https://www.op.gg/summoners/na/IamaNewby) |
| 120 | Anivia | 4 |🟩🔺 6| [Hub1012345](https://www.op.gg/summoners/na/Hub1012345) |
| 121 | Nami | 4 |🟩🔺 16| [sup line](https://www.op.gg/summoners/na/sup line) |
| 122 | Nasus | 4 |🟥🔻 16| [Mr Bluehat](https://www.op.gg/summoners/na/Mr Bluehat) |
| 123 | Riven | 4 |🟥🔻 80| not played |
| 124 | Volibear | 4 |🟥🔻 11| [Mr Bluehat](https://www.op.gg/summoners/na/Mr Bluehat) |
| 125 | Ziggs | 4 |🟩🔺 34| [LastDanceDF](https://www.op.gg/summoners/na/LastDanceDF) |
| 126 | Braum | 3 |🟩🔺 8| [Pockus](https://www.op.gg/summoners/na/Pockus) |
| 127 | Gnar | 3 |🟥🔻 42| [Tony Top](https://www.op.gg/summoners/na/Tony Top) |
| 128 | Lillia | 3 |🟥🔻 53| [I am Súnlight](https://www.op.gg/summoners/na/I am Súnlight) |
| 129 | Sona | 3 |🟩🔺 26| [C9 Zven](https://www.op.gg/summoners/na/C9 Zven) |
| 130 | Taric | 3 |🟥🔻 38| [Armored Mawdad](https://www.op.gg/summoners/na/Armored Mawdad) |
| 131 | Vayne | 3 |🟥🔻 1| not played |
| 132 | Dr. Mundo | 2 |🟩🔺 21| [I am Súnlight](https://www.op.gg/summoners/na/I am Súnlight) |
| 133 | Master Yi | 2 |🟥🔻 33| not played |
| 134 | Miss Fortune | 2 |🟥🔻 3| [posnet](https://www.op.gg/summoners/na/posnet) |
| 135 | Rek'Sai | 2 |🟥🔻 26| [thiccsai](https://www.op.gg/summoners/na/thiccsai) |
| 136 | Rell | 2 |🟥🔻 26| [sup line](https://www.op.gg/summoners/na/sup line) |
| 137 | Renata Glasc | 2 |🟥🔻 33| [Pockus](https://www.op.gg/summoners/na/Pockus) |
| 138 | Ryze | 2 |🟩🔺 11| [ffman](https://www.op.gg/summoners/na/ffman) |
| 139 | Veigar | 2 |🟥🔻 51| [Hub1012345](https://www.op.gg/summoners/na/Hub1012345) |
| 140 | Amumu | 1 |🟨 0| not played |
| 141 | Bard | 1 |🟩🔺 3| [Cadu](https://www.op.gg/summoners/na/Cadu) |
| 142 | Morgana | 1 |🟥🔻 9| [skétch](https://www.op.gg/summoners/na/skétch) |
| 143 | Samira | 1 |🟥🔻 60| not played |
| 144 | Sejuani | 1 |🟩🔺 10| [Zyko](https://www.op.gg/summoners/na/Zyko) |
| 145 | Sett | 1 |🟩🔺 17| not played |
| 146 | Trundle | 1 |🟩🔺 1| [No Ionger Iove](https://www.op.gg/summoners/na/No Ionger Iove) |
| 147 | Vex | 1 |🟥🔻 78| not played |
| 148 | Yorick | 1 |🟥🔻 6| not played |
| 149 | Brand | 0 |🟩🔺 7| not played |
| 150 | Corki | 0 |🟩🔺 11| not played |
| 151 | Illaoi | 0 |🟥🔻 1| not played |
| 152 | Kayle | 0 |🟩🔺 8| not played |
| 153 | Malzahar | 0 |🟩🔺 4| not played |
| 154 | Nilah | 0 |🟥🔻 19| not played |
| 155 | Quinn | 0 |🟥🔻 44| not played |
| 156 | Rammus | 0 |🟥🔻 17| not played |
| 157 | Shyvana | 0 |🟩🔺 1| not played |
| 158 | Skarner | 0 |🟥🔻 20| not played |
| 159 | Taliyah | 0 |🟥🔻 94| not played |
| 160 | Twisted Fate | 0 |🟥🔻 33| not played |
| 161 | Urgot | 0 |🟥🔻 16| not played |
| 162 | Vel'Koz | 0 |🟥🔻 16| not played |
| 163 | Xin Zhao | 0 |🟥🔻 47| not played |
